sl. No,Invoice #,Invoice Date,Client,Work Type,Date Due,Date Due Client,Client Total,Client Paid Date,Client Paid Amount,,,Client Check #,Write Off Amount,Sent to Client
631,2270388,14/10/25,401,Grass Re-cut,10/10/2025,10/11/2025,45,1/12/2025,45,0,,11715386,,10/14/2025
638,2279392,15/10/25,401,Grass Re-cut,10/13/2025,10/14/2025,35,1/12/2025,35,0,,11715386,,10/15/2025
639,2268920,15/10/25,401,Grass Re-cut,10/11/2025,10/12/2025,45,1/12/2025,45,0,,11715386,,10/15/2025
656,2278281,17/10/25,401,Grass Re-cut,10/17/2025,10/18/2025,40,1/12/2025,40,0,,11715386,,10/17/2025
667,2290520,22/10/25,401,Bid Approval,10/23/2025,10/24/2025,292.5,8/12/2025,292.5,0,,11715606,,10/22/2025
670,2289849,22/10/25,401,Initial Secure,10/22/2025,10/23/2025,40,8/12/2025,40,0,,11715606,,10/22/2025
722,2290238,29/10/25,401,Grass Re-cut,10/29/2025,10/30/2025,40,12/12/2025,40,0,,11715828,,10/29/2025
733,2288899,30/10/25,401,Grass Re-cut,10/31/2025,11/1/2025,35,12/12/2025,35,0,,11715828,,10/30/2025
734,2280320,30/10/25,401,Grass Re-cut,10/31/2025,11/1/2025,35,12/12/2025,35,0,,11715828,,10/30/2025
747,2288824,31/10/25,401,Grass Re-cut,10/25/2025,10/26/2025,45,12/12/2025,45,0,,11715828,,10/31/2025
752,2293150,3/11/2025,401,Grass Re-cut,10/30/2025,10/31/2025,45,12/12/2025,45,0,,11715828,,11/3/2025
787,2296437,10/11/2025,401,Grass Re-cut,11/10/2025,11/11/2025,35,30/12/2025,35,0,,11716256,,11/10/2025
792,2306589,12/11/2025,401,Grass Re-cut,11/12/2025,11/13/2025,45,30/12/2025,45,0,,11716256,,11/12/2025
797,2297353,12/11/2025,401,Grass Re-cut,11/10/2025,11/11/2025,35,30/12/2025,35,0,,11716256,,11/12/2025
813,2295978,14/11/25,401,Grass Re-cut,11/11/2025,11/11/2025,40,30/12/2025,40,0,,11716256,,11/14/2025
829,2314961,17/11/25,401,Initial Secure,11/15/2025,11/17/2025,25,6/1/2026,25,0,,11716411,,11/21/2025
831,2307171,17/11/25,401,Grass Re-cut,11/12/2025,11/13/2025,35,6/1/2026,35,0,,11716411,,11/17/2025
844,2297539,19/11/25,401,Grass Re-cut,11/11/2025,11/11/2025,35,6/1/2026,35,0,,11716411,,11/19/2025
846,2315040,19/11/25,401,Grass Re-cut,11/15/2025,11/17/2025,25,6/1/2026,25,0,,11716411,,11/19/2025
828,2315038,17/11/25,401,Initial Services,11/15/2025,11/17/2025,155,9/1/2026,155,0,,11716562,,11/21/2025
858,2315689,21/11/25,401,Grass Re-cut,11/23/2025,11/24/2025,45,12/1/2026,45,0,,11716562,,11/21/2025
872,2317509,24/11/25,401,Bid Approval,11/21/2025,11/22/2025,250,12/1/2026,250,0,,11716562,,11/24/2025
876,2315687,24/11/25,401,Grass Re-cut,11/25/2025,11/26/2025,35,12/1/2026,35,0,,11716562,,11/24/2025
877,2315890,24/11/25,401,Grass Re-cut,11/19/2025,11/20/2025,40,12/1/2026,40,0,,11716562,,11/24/2025
891,2318185,26/11/25,401,Initial Secure,11/25/2025,11/26/2025,25,12/1/2026,25,0,,11716562,,11/26/2025
892,2317906,26/11/25,401,Grass Re-cut,11/30/2025,12/1/2025,35,12/1/2026,35,0,,11716562,,11/26/2025
893,2316433,26/11/25,401,Grass Re-cut,11/28/2025,11/29/2025,35,12/1/2026,35,0,,11716562,,11/26/2025
896,2318122,26/11/25,401,Bid Approval,11/22/2025,11/23/2025,300,12/1/2026,300,0,,11716562,,11/26/2025
902,2318702,28/11/25,401,Grass Re-cut,11/27/2025,11/28/2025,25,27/01/2026,25,0,,11716715,,11/28/2025
931,2311615,1/12/2025,401,Grass Re-cut,11/30/2025,12/1/2025,40,27/01/2026,40,0,,11716715,,12/1/2025
932,2306896,1/12/2025,401,Grass Re-cut,11/30/2025,12/1/2025,35,27/01/2026,35,0,,11716715,,12/1/2025
944,2319377,3/12/2025,401,Grass Re-cut,12/2/2025,12/3/2025,25,27/01/2026,25,0,,11716715,,12/3/2025
956,2321311,4/12/2025,401,Grass Re-cut,12/5/2025,12/6/2025,35,27/01/2026,35,0,,11716715,,12/4/2025
961,2320342,4/12/2025,401,Lawn Care,12/7/2025,12/8/2025,80,27/01/2026,80,0,,11716715,,12/4/2025
962,2319868,4/12/2025,401,Grass Re-cut,12/5/2025,12/6/2025,45,27/01/2026,45,0,,11716715,,12/4/2025
209,2213690,29/7/25,401,Grass Re-cut,7/28/2025,7/28/2025,80,12/9/2025,80,0,,,,7/29/2025
214,2215767,31/7/25,401,Initial Grass Cut,7/31/2025,7/31/2025,25,29/09/2025,25,0,,,,7/31/2025
518,"Malaka-ma,am",24/9/25,401,Bid Request,9/17/2025,9/17/2025,1200,25/09/2025,1200,0,,,,9/24/2025
